id,province,population,x_coord,y_coord,latitude,longitude,name
0,0,105677,0,0,46.5653,3.3333,Moulins
1,0,115446,0,0,46.3408,2.6033,Montluon
2,1,8044,0,0,44.3867,6.6531,Barcelonnette
3,2,84660,0,0,46.1519,5.6078,Nantua
4,3,72657,0,0,49.04,3.4,Chteau-Thierry
5,3,130944,0,0,49.8486,3.2864,Saint-Quentin
6,0,122308,0,0,46.1278,3.4267,Vichy
7,3,165852,0,0,49.5639,3.6244,Laon
8,2,97136,0,0,45.7667,5.6833,Belley
9,2,87153,0,0,46.3333,6.0578,Gex
10,2,350548,0,0,46.2056,5.2289,Bourg-en-Bresse
11,4,28846,0,0,48.27,4.72,Bar-sur-Aube
12,1,88476,0,0,43.96,5.7806,Forcalquier
13,5,371239,0,0,47.2906,5.0428,Dijon
14,5,61048,0,0,47.6236,4.3378,Montbard
15,6,103739,0,0,44.5594,6.0786,Gap
16,7,37951,0,0,45.8239,0.8217,Rochechouart
17,8,119653,0,0,14.4694,-60.8658,Le Marin
18,9,140932,0,0,48.4343,2.1615,tampes
19,10,501004,0,0,49.0516,2.1017,Pontoise
20,11,301121,0,0,-21.3419,55.4778,Saint-Pierre
21,11,212074,0,0,-21.0097,55.2697,Saint-Paul
22,12,83412,0,0,5.4994,-54.0311,Saint-Laurent-du-Maroni
23,10,236950,0,0,48.95,2.25,Argenteuil
24,11,124652,0,0,-21.0339,55.7128,Saint-Benot
25,8,161021,0,0,14.6,-61.0833,Fort-de-France
26,13,211226,0,0,16.2411,-61.5331,Pointe--Pitre
27,13,190893,0,0,15.9958,-61.7292,Basse-Terre
28,8,81475,0,0,14.73,-60.97,La Trinit
29,8,23464,0,0,14.7417,-61.1758,Saint-Pierre
30,10,456727,0,0,48.9956,2.3808,Sarcelles
31,14,392776,0,0,48.8375,2.4833,Nogent-sur-Marne
32,12,160706,0,0,4.9372,-52.326,Cayenne
33,14,260323,0,0,48.7727,2.3363,L'Ha-les-Roses
34,15,414121,0,0,48.9356,2.3539,Saint-Denis
35,14,700906,0,0,48.7911,2.4628,Crteil
36,11,197256,0,0,-20.8789,55.4481,Saint-Denis
37,15,593582,0,0,48.9106,2.4397,Bobigny
38,15,544779,0,0,48.9,2.5167,Le Raincy
39,16,321484,0,0,48.8352,2.2409,Boulogne-Billancourt
40,16,850444,0,0,48.8988,2.1969,Nanterre
41,16,419475,0,0,48.7539,2.2975,Antony
42,17,65760,0,0,48.3564,5.6964,Neufchteau
43,9,521684,0,0,48.6238,2.4296,vry
44,7,298060,0,0,45.8353,1.2625,Limoges
45,18,144318,0,0,47.64,6.85,Belfort
46,19,244542,0,0,46.58,0.34,Poitiers
47,17,216765,0,0,48.1744,6.4512,pinal
48,9,591315,0,0,48.7145,2.2457,Palaiseau
49,7,39845,0,0,46.1231,1.0503,Bellac
50,20,180198,0,0,47.7986,3.5672,Auxerre
51,20,48194,0,0,47.4908,3.9092,Avallon
52,20,113091,0,0,48.1975,3.2877,Sens
53,17,92701,0,0,48.28,6.95,Saint-Di-des-Vosges
54,19,74909,0,0,46.4269,0.8717,Montmorillon
55,19,111797,0,0,46.8178,0.5461,Chtellerault
56,21,240723,0,0,46.4972,-1.7833,Les Sables-d'Olonne
57,22,293080,0,0,43.95,4.81,Avignon
58,22,127803,0,0,43.8769,5.3969,Apt
59,21,283036,0,0,46.6705,-1.426,La Roche-sur-Yon
60,22,129066,0,0,44.0558,5.0489,Carpentras
61,23,562412,0,0,43.13,5.92,Toulon
62,21,131747,0,0,46.466,-0.8061,Fontenay-le-Comte
63,24,173610,0,0,44.0181,1.3558,Montauban
64,24,76732,0,0,44.0408,1.1078,Castelsarrasin
65,23,148730,0,0,43.4058,6.0615,Brignoles
66,23,317441,0,0,43.5403,6.4667,Draguignan
67,25,193766,0,0,43.6,2.25,Castres
68,25,188161,0,0,43.9289,2.1464,Albi
69,26,80235,0,0,49.9293,2.935,Pronne
70,26,56628,0,0,49.6486,2.5708,Montdidier
71,26,134155,0,0,50.1058,1.8358,Abbeville
72,27,64349,0,0,46.6462,-0.2478,Parthenay
73,27,210986,0,0,46.3258,-0.4606,Niort
74,27,96297,0,0,46.8408,-0.4872,Bressuire
75,26,300657,0,0,49.892,2.299,Amiens
76,28,554767,0,0,48.8989,2.0938,Saint-Germain-en-Laye
77,28,223370,0,0,48.6444,1.8308,Rambouillet
78,28,359327,0,0,48.8053,2.135,Versailles
79,29,418100,0,0,48.8502,2.6508,Torcy
80,28,281020,0,0,48.9908,1.7172,Mantes-la-Jolie
81,29,163130,0,0,48.5604,3.299,Provins
82,29,283500,0,0,48.9603,2.8883,Meaux
83,30,624500,0,0,49.44,1.1,Rouen
84,31,139767,0,0,46.3627,6.475,Thonon-les-Bains
85,30,235598,0,0,49.92,1.08,Dieppe
86,31,175881,0,0,46.1436,6.0811,Saint-Julien-en-Genevois
87,29,147544,0,0,48.4097,2.7025,Fontainebleau
88,30,394511,0,0,49.49,0.1,Le Havre
89,29,352926,0,0,48.5406,2.66,Melun
90,31,182822,0,0,46.0797,6.4014,Bonneville
91,32,43623,0,0,45.2729,6.3484,Saint-Jean-de-Maurienne
92,31,271207,0,0,45.916,6.133,Annecy
93,33,2229621,0,0,48.8567,2.3508,Paris
94,32,268295,0,0,45.57,5.9118,Chambry
95,34,151174,0,0,48.3517,0.3678,Mamers
96,35,113665,0,0,46.3063,4.8313,Mcon
97,35,55527,0,0,46.6612,5.2254,Louhans
98,34,265151,0,0,48.0077,0.1984,Le Mans
99,34,152710,0,0,47.6959,-0.0747,La Flche
100,32,111797,0,0,45.6767,6.3933,Albertville
101,35,99849,0,0,46.4344,4.2753,Charolles
102,36,129840,0,0,47.6231,6.1558,Vesoul
103,36,109116,0,0,47.6836,6.4975,Lure
104,37,442851,0,0,45.9833,4.7167,Villefranche-sur-Sane
105,37,1336994,0,0,45.76,4.84,Lyon
106,38,140228,0,0,47.8072,7.1053,Thann-Guebwiller
107,38,199182,0,0,48.0817,7.3556,Colmar-Ribeauvill
108,38,304295,0,0,47.75,7.34,Mulhouse
109,35,87145,0,0,46.9517,4.2994,Autun
110,38,69549,0,0,47.62,7.24,Altkirch
111,35,200036,0,0,46.7806,4.8528,Chalon-sur-Sane
112,39,129344,0,0,48.74,7.36,Saverne
113,39,154943,0,0,48.259444,7.454167,Slestat-Erstein
114,39,482384,0,0,48.58,7.75,Strasbourg
115,40,347093,0,0,42.6986,2.8956,Perpignan
116,40,42973,0,0,42.6181,2.4228,Prades
117,41,39130,0,0,43,-0.1,Argels-Gazost
118,41,46397,0,0,43.065,0.1506,Bagnres-de-Bigorre
119,40,72639,0,0,42.4892,2.7522,Cret
120,39,239965,0,0,48.82,7.79,Haguenau-Wissembourg
121,41,143341,0,0,43.23,0.07,Tarbes
122,42,285761,0,0,43.49,-1.48,Bayonne
123,42,303559,0,0,43.3,-0.37,Pau
124,42,74737,0,0,43.1947,-0.6056,Oloron-Sainte-Marie
125,39,102824,0,0,48.54,7.49,Molsheim
126,43,62388,0,0,45.545,3.2497,Issoire
127,43,57324,0,0,45.8572,3.5483,Thiers
128,43,120471,0,0,45.8944,3.1133,Riom
129,43,374074,0,0,45.7831,3.0824,Clermont-Ferrand
130,44,164800,0,0,50.7461,2.2617,Saint-Omer
131,43,26742,0,0,45.5503,3.7425,Ambert
132,44,161821,0,0,50.7264,1.6147,Boulogne-sur-Mer
133,44,285789,0,0,50.5303,2.6408,Bthune
134,44,112709,0,0,50.4648,1.763,Montreuil
135,44,118248,0,0,50.948056,1.856389,Calais
136,44,263144,0,0,50.292,2.78,Arras
137,45,99996,0,0,48.4306,0.0931,Alenon
138,44,358694,0,0,50.4322,2.8333,Lens
139,46,278751,0,0,49.2081,2.5875,Senlis
140,46,225899,0,0,49.4303,2.0952,Beauvais
141,46,129859,0,0,49.3797,2.4133,Clermont
142,47,349486,0,0,50.358,3.5233,Valenciennes
143,47,1227051,0,0,50.6278,3.0583,Lille
144,45,117328,0,0,48.75,-0.02,Argentan
145,46,180891,0,0,49.4149,2.8231,Compigne
146,45,71524,0,0,48.5208,0.5483,Mortagne-au-Perche
147,47,377081,0,0,51.0383,2.3775,Dunkerque
148,47,247279,0,0,50.3714,3.08,Douai
149,47,232032,0,0,50.1244,3.9267,Avesnes-sur-Helpe
150,48,44953,0,0,47.4122,2.9275,Cosne-Cours-sur-Loire
151,48,25249,0,0,47.4608,3.5203,Clamecy
152,47,162607,0,0,50.1767,3.2356,Cambrai
153,48,118974,0,0,46.9933,3.1572,Nevers
154,48,26045,0,0,47.0653,3.9331,Chteau-Chinon
155,49,93835,0,0,48.74,7.05,Sarrebourg-Chteau-Salins
156,49,342287,0,0,49.120278,6.177778,Metz
157,49,99982,0,0,49.11,7.07,Sarreguemines
158,49,264140,0,0,49.3589,6.1692,Thionville
159,49,246629,0,0,49.19,6.9,Forbach-Boulay-Moselle
160,50,124709,0,0,48.0692,-2.9614,Pontivy
161,51,44582,0,0,48.7619,5.5926,Commercy
162,50,300185,0,0,47.6559,-2.7603,Vannes
163,52,417430,0,0,48.6936,6.1846,Nancy
164,51,61224,0,0,48.7719,5.1603,Bar-le-Duc
165,52,69418,0,0,48.675,5.8917,Toul
166,53,154653,0,0,48.0733,-0.7689,Laval
167,53,63877,0,0,47.8286,-0.7028,Chteau-Gontier
168,53,88970,0,0,48.312,-0.6183,Mayenne
169,52,164589,0,0,49.249,5.94,Briey
170,52,79567,0,0,48.5894,6.5017,Lunville
171,51,86288,0,0,49.162,5.3876,Verdun
172,50,312884,0,0,47.75,-3.36,Lorient
173,54,65090,0,0,48.1117,5.1389,Chaumont
174,55,120815,0,0,49.0403,3.96,pernay
175,54,71755,0,0,48.6383,4.9497,Saint-Dizier
176,54,44676,0,0,47.8633,5.3339,Langres
177,55,46457,0,0,48.7256,4.5853,Vitry-le-Franois
178,55,294724,0,0,49.2628,4.0347,Reims
179,55,110297,0,0,48.9575,4.365,Chlons-en-Champagne
180,56,190262,0,0,49.639,-1.625,Cherbourg
181,56,84327,0,0,49.05,-1.44,Coutances
182,56,101807,0,0,49.12,-1.09,Saint-L
183,57,203287,0,0,47.06,-0.8783,Cholet
184,58,63277,0,0,44.5194,3.5014,Mende
185,57,397209,0,0,47.473612,-0.554167,Angers
186,59,39137,0,0,44.136111,0.340278,Nrac
187,58,13330,0,0,44.324,3.594,Florac
188,57,137006,0,0,47.26,-0.0769,Saumur
189,59,90820,0,0,44.4081,0.705,Villeneuve-sur-Lot
190,57,62689,0,0,47.6872,-0.8708,Segr
191,59,83124,0,0,44.5,0.17,Marmande
192,56,123523,0,0,48.685,-1.3556,Avranches
193,59,120099,0,0,44.2049,0.6212,Agen
194,60,54016,0,0,44.6086,2.0317,Figeac
195,60,43538,0,0,44.7371,1.3825,Gourdon
196,61,63017,0,0,48.1725,2.2525,Pithiviers
197,61,431785,0,0,47.9025,1.909,Orlans
198,62,820143,0,0,47.2181,-1.5528,Nantes
199,60,76204,0,0,44.4483,1.4414,Cahors
200,62,216363,0,0,47.7178,-1.375,Chteaubriant-Ancenis
201,62,318440,0,0,47.2806,-2.2086,Saint-Nazaire
202,61,170785,0,0,47.9978,2.7333,Montargis
203,63,84292,0,0,45.1436,4.1244,Yssingeaux
204,63,95979,0,0,45.0442,3.8858,Le Puy-en-Velay
205,64,412439,0,0,45.4347,4.3903,Saint-tienne
206,63,45932,0,0,45.295,3.385,Brioude
207,65,171674,0,0,47.5939,1.3281,Blois
208,65,70627,0,0,47.7936,1.0664,Vendme
209,65,89700,0,0,47.3589,1.7436,Romorantin-Lanthenay
210,64,187181,0,0,45.6083,4.0658,Montbrison
211,64,157095,0,0,46.0367,4.0689,Roanne
212,66,178986,0,0,43.89,-0.5,Mont-de-Marsan
213,67,51152,0,0,46.3878,5.8639,Saint-Claude
214,66,218240,0,0,43.71,-1.05,Dax
215,67,83474,0,0,47.0931,5.4906,Dole
216,68,755863,0,0,45.2002,5.7222,Grenoble
217,67,125876,0,0,46.6753,5.5544,Lons-le-Saunier
218,68,267418,0,0,45.565,5.4444,La Tour-du-Pin
219,68,212106,0,0,45.5242,4.8781,Vienne
220,69,462714,0,0,47.3936,0.6892,Tours
221,70,33172,0,0,46.5831,1.9878,La Chtre
222,70,35252,0,0,46.9608,1.9944,Issoudun
223,69,86706,0,0,47.1678,0.2436,Chinon
224,69,50832,0,0,47.1292,0.9961,Loches
225,71,74868,0,0,44.8928,1.2153,Sarlat-la-Canda
226,71,189098,0,0,45.1929,0.7217,Prigueux
227,70,127499,0,0,46.8103,1.6911,Chteauroux
228,72,247641,0,0,47.24,6.02,Besanon
229,70,32168,0,0,46.6344,1.0636,Le Blanc
230,73,105580,0,0,47.6522,-2.0836,Redon
231,73,581647,0,0,48.1147,-1.6794,Rennes
232,73,154820,0,0,48.6481,-2.0075,Saint-Malo
233,72,177396,0,0,47.51,6.8,Montbliard
234,73,177876,0,0,48.3525,-1.1986,Fougres-Vitr
235,72,108283,0,0,46.9067,6.3556,Pontarlier
236,74,29703,0,0,42.5686,8.7569,Calvi
237,75,151231,0,0,44.92,-0.24,Libourne
238,74,84130,0,0,42.7008,9.4503,Bastia
239,74,57141,0,0,42.3064,9.1514,Corte
240,76,308948,0,0,43.3476,3.219,Bziers
241,75,85544,0,0,45.3078,-0.9364,Lesparre-Mdoc
242,76,689922,0,0,43.6119,3.8772,Montpellier
243,5,97474,0,0,47.025,4.8397,Beaune
244,76,93461,0,0,43.7325,3.3203,Lodve
245,77,71450,0,0,47.2225,2.0694,Vierzon
246,78,38022,0,0,43.52,0.4,Mirande
247,79,1008156,0,0,43.6045,1.444,Toulouse
248,75,129850,0,0,44.55,-0.25,Langon
249,78,86628,0,0,43.6465,0.5855,Auch
250,75,143557,0,0,44.65,-1.17,Arcachon
251,78,65626,0,0,43.96,0.37,Condom
252,75,907877,0,0,44.84,-0.58,Bordeaux
253,80,26369,0,0,45.2197,2.3342,Mauriac
254,75,87458,0,0,45.1286,-0.6611,Blaye
255,3,103977,0,0,49.3817,3.3236,Soissons
256,81,151844,0,0,44.1281,4.0817,Als
257,81,544941,0,0,43.838,4.361,Nmes
258,6,35540,0,0,44.8964,6.6356,Brianon
259,81,36416,0,0,43.9931,3.6061,Le Vigan
260,79,212655,0,0,43.4611,1.3267,Muret
261,79,77751,0,0,43.1089,0.7242,Saint-Gaudens
262,3,66637,0,0,49.8358,3.91,Vervins
263,82,318805,0,0,47.9967,-4.0964,Quimper
264,82,85769,0,0,48.1975,-4.0886,Chteaulin
265,82,129152,0,0,48.5783,-3.8267,Morlaix
266,83,37147,0,0,48.3225,0.8225,Nogent-le-Rotrou
267,83,129058,0,0,48.7372,1.3664,Dreux
268,83,59770,0,0,48.0717,1.3387,Chteaudun
269,83,206992,0,0,48.456,1.484,Chartres
270,84,166809,0,0,49.09,0.6,Bernay
271,85,338020,0,0,44.9333,4.8917,Valence
272,84,247001,0,0,49.02,1.15,vreux
273,84,181233,0,0,49.2461,1.4125,Les Andelys
274,82,370195,0,0,48.39,-4.49,Brest
275,85,42668,0,0,44.7536,5.3703,Die
276,71,112156,0,0,44.85,0.48,Bergerac
277,85,140345,0,0,44.3603,5.1397,Nyons
278,71,40787,0,0,45.5294,0.6619,Nontron
279,86,37354,0,0,45.957,2.1683,Aubusson
280,87,39811,0,0,41.6217,8.9742,Sartne
281,88,87677,0,0,48.5633,-3.15,Guingamp
282,88,100096,0,0,48.7333,-3.4542,Lannion
283,88,129498,0,0,48.4564,-2.0489,Dinan
284,88,279814,0,0,48.5136,-2.7653,Saint-Brieuc
285,87,109423,0,0,41.9267,8.7369,Ajaccio
286,86,83518,0,0,46.1714,1.8692,Guret
287,89,32974,0,0,45.5489,2.31,Ussel
288,89,78329,0,0,45.2673,1.7655,Tulle
289,77,65824,0,0,46.7,2.51,Saint-Amand-Montrond
290,90,128259,0,0,45.7464,-0.6333,Saintes
291,89,129478,0,0,45.1583,1.5321,Brive-la-Gaillarde
292,90,53494,0,0,45.9466,-0.5294,Saint-Jean-d'Angly
293,77,174376,0,0,47.0844,2.3964,Bourges
294,90,207697,0,0,46.1591,-1.1517,La Rochelle
295,90,56884,0,0,45.4467,-0.4336,Jonzac
296,90,187083,0,0,45.9421,-0.9588,Rochefort
297,91,92032,0,0,45.7,-0.33,Cognac
298,91,64457,0,0,46.0144,0.6733,Confolens
299,80,38125,0,0,45.0344,3.0936,Saint-Flour
300,80,82541,0,0,44.9261,2.4406,Aurillac
301,92,147277,0,0,49.15,0.23,Lisieux
302,91,196993,0,0,45.65,0.16,Angoulme
303,92,68130,0,0,49.2794,-0.7028,Bayeux
304,92,57523,0,0,48.838,-0.889,Vire
305,93,1054525,0,0,43.2964,5.37,Marseille
306,92,417015,0,0,49.18,-0.37,Caen
307,94,64124,0,0,44.3533,2.035,Villefranche-de-Rouergue
308,94,142631,0,0,44.3506,2.575,Rodez
309,93,425725,0,0,43.526304,5.445429,Aix-en-Provence
310,93,202919,0,0,43.6767,4.6278,Arles
311,94,70985,0,0,44.0986,3.0783,Millau
312,93,310008,0,0,43.5151,4.9895,Istres
313,95,158495,0,0,43.1836,3.0042,Narbonne
314,95,161892,0,0,43.21,2.35,Carcassonne
315,95,44490,0,0,43.0578,2.2192,Limoux
316,96,27455,0,0,42.9858,1.1467,Saint-Girons
317,4,55009,0,0,48.4942,3.5033,Nogent-sur-Seine
318,4,222726,0,0,48.2997,4.0792,Troyes
319,96,73491,0,0,43.1175,1.6117,Pamiers
320,97,22126,0,0,49.3972,4.6983,Vouziers
321,98,135088,0,0,45.0681,4.8333,Tournon-sur-Rhne
322,96,51738,0,0,42.9664,1.6078,Foix
323,97,60035,0,0,49.7034,4.9388,Sedan
324,99,520433,0,0,43.7034,7.2663,Nice
325,98,87324,0,0,44.7358,4.597,Privas
326,98,97967,0,0,44.5436,4.2942,Largentire
327,97,36844,0,0,49.5106,4.3667,Rethel
328,97,161902,0,0,49.7719,4.7161,Charleville-Mzires
329,1,55899,0,0,44.0933,6.2364,Digne-les-Bains
330,99,560338,0,0,43.6667,6.9167,Grasse
331,1,9497,0,0,43.8475,6.5139,Castellane
